video_id,rally_id,event_rank,event_frame_local,event_frame_original,window_start_local,window_end_local,window_start_original,window_end_original,context_start_original,context_end_original,prev_event_frame_original,next_event_frame_original
40,48,7,386,47876,370,408,47860,47898,47861,47891,47844,47919
40,48,8,429,47919,408,444,47898,47934,47904,47934,47876,47949
40,48,9,459,47949,444,473,47934,47963,47934,47964,47919,47977
40,48,10,487,47977,473,514,47963,48004,47962,47992,47949,48031
40,48,11,541,48031,514,554,48004,48044,48016,48046,47977,48056
40,48,12,566,48056,554,582,48044,48072,48041,48071,48031,48088
40,48,13,598,48088,582,619,48072,48109,48073,48103,48056,48130
40,48,14,640,48130,619,657,48109,48147,48115,48145,48088,48164
40,48,15,674,48164,657,687,48147,48177,48149,48179,48130,48190
40,48,16,700,48190,687,716,48177,48206,48175,48205,48164,48222
40,48,17,732,48222,716,754,48206,48244,48207,48237,48190,48266
40,48,18,776,48266,754,790,48244,48280,48251,48281,48222,48295
40,48,19,805,48295,790,814,48280,48304,48280,48310,48266,48314
40,48,20,824,48314,814,837,48304,48327,48299,48329,48295,48340
40,48,21,850,48340,837,856,48327,48346,48325,48355,48314,48352
40,48,22,862,48352,856,874,48346,48364,48337,48367,48340,48376
40,48,23,886,48376,874,990,48364,48480,48361,48391,48352,
40,49,1,67,49177,0,75,49110,49185,49162,49192,,49193
40,49,2,83,49193,75,96,49185,49206,49178,49208,49177,49219
40,49,3,109,49219,96,126,49206,49236,49204,49234,49193,49254
40,49,4,144,49254,126,160,49236,49270,49239,49269,49219,49287
40,49,5,177,49287,160,185,49270,49295,49272,49302,49254,49303
40,49,6,193,49303,185,206,49295,49316,49288,49318,49287,49328
40,49,7,218,49328,206,270,49316,49380,49313,49343,49303,
40,50,1,421,53461,0,452,53040,53492,53446,53476,,53522
40,50,2,482,53522,452,500,53492,53540,53507,53537,53461,53559
40,50,3,519,53559,500,532,53540,53572,53544,53574,53522,53585
40,50,4,545,53585,532,560,53572,53600,53570,53600,53559,53616
40,50,5,576,53616,560,589,53600,53629,53601,53631,53585,53642
40,50,6,602,53642,589,618,53629,53658,53627,53657,53616,53674
40,50,7,634,53674,618,652,53658,53692,53659,53689,53642,53709
40,50,8,669,53709,652,750,53692,53790,53694,53724,53674,
40,51,1,281,54191,0,314,53910,54224,54176,54206,,54258
40,51,2,348,54258,314,362,54224,54272,54243,54273,54191,54287
40,51,3,377,54287,362,395,54272,54305,54272,54302,54258,54323
40,51,4,413,54323,395,429,54305,54339,54308,54338,54287,54355
40,51,5,445,54355,429,540,54339,54450,54340,54370,54323,
40,52,1,24,54774,0,34,54750,54784,54759,54789,,54794
40,52,2,44,54794,34,180,54784,54930,54779,54809,54774,
40,53,1,44,55094,0,58,55050,55108,55079,55109,,55123
40,53,2,73,55123,58,94,55108,55144,55108,55138,55094,55165
40,53,3,115,55165,94,270,55144,55320,55150,55180,55123,
40,54,1,92,55502,0,104,55410,55514,55487,55517,,55525
40,54,2,115,55525,104,128,55514,55538,55510,55540,55502,55550
40,54,3,140,55550,128,168,55538,55578,55535,55565,55525,55605
40,54,4,195,55605,168,215,55578,55625,55590,55620,55550,55645
40,54,5,235,55645,215,248,55625,55658,55630,55660,55605,55672
40,54,6,262,55672,248,289,55658,55699,55657,55687,55645,55726
40,54,7,316,55726,289,390,55699,55800,55711,55741,55672,
40,55,1,36,56136,0,65,56100,56165,56121,56151,,56194
40,55,2,94,56194,65,108,56165,56208,56179,56209,56136,56221
40,55,3,121,56221,108,131,56208,56231,56206,56236,56194,56241
40,55,4,141,56241,131,154,56231,56254,56226,56256,56221,56267
40,55,5,167,56267,154,187,56254,56287,56252,56282,56241,56307
40,55,6,207,56307,187,216,56287,56316,56292,56322,56267,56325
40,55,7,225,56325,216,239,56316,56339,56310,56340,56307,56353
40,55,8,253,56353,239,266,56339,56366,56338,56368,56325,56380
40,55,9,280,56380,266,360,56366,56460,56365,56395,56353,
40,56,1,67,56767,0,80,56700,56780,56752,56782,,56793
40,56,2,93,56793,80,108,56780,56808,56778,56808,56767,56823
40,56,3,123,56823,108,150,56808,56850,56808,56838,56793,56876
40,56,4,176,56876,150,190,56850,56890,56861,56891,56823,56904
40,56,5,204,56904,190,220,56890,56920,56889,56919,56876,56937
40,56,6,237,56937,220,246,56920,56946,56922,56952,56904,56954
40,56,7,254,56954,246,270,56946,56970,56939,56969,56937,56986
40,56,8,286,56986,270,301,56970,57001,56971,57001,56954,57016
40,56,9,316,57016,301,339,57001,57039,57001,57031,56986,57062
40,56,10,362,57062,339,372,57039,57072,57047,57077,57016,57082
40,56,11,382,57082,372,480,57072,57180,57067,57097,57062,
